,0,1,2,3,4,5,6,7,8,,,,,,,,,,,,,
30,0.62,-0.002046256,-0.002046256,-0.002046259,-0.002046256,-0.002046255,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]",-0.002046255,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]",0.007980423,0.001590815,10,1.193561942,1.847177673,3.728476,1.193561942,,,4.94E-05,2.620744713,0.333028713,
31,0.64,-0.001857978,-0.001857978,-0.001857978,-0.001857977,-0.001857976,"[0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0]",-0.001857976,"[0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0]",0.007792003,0.001479913,10,1.183500572,1.737737901,3.505673132,1.183500572,,,4.44E-05,2.641540415,0.268937268,
32,0.66,-0.001675046,-0.001675046,-0.00167505,-0.001675046,-0.001675045,"[0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0]",-0.001675045,"[0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0]",0.007631542,0.001393453,10,1.160619714,1.611175793,3.248310461,1.160619714,,,3.96E-05,2.608189871,0.205360856,
33,0.68,-0.001496834,-0.001496834,-0.001496836,-0.001496832,-0.001496833,"[0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0]",-0.001496833,"[0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0]",0.00748052,0.001319019,10,1.128899338,1.469369394,2.960329253,1.128899338,,,3.48E-05,2.445582664,0.174826082,
34,0.7,-0.001322938,-0.001322938,-0.001322941,-0.001322937,-0.001322936,"[0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0]",-0.001322936,"[0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0]",0.007338127,0.001255003,10,1.086564707,1.314236148,2.645744464,1.086564707,,,3.01E-05,2.268026451,0.135450095,
35,0.72,-0.001152996,-0.001152996,-0.001152999,-0.001152995,-0.001152995,"[0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0]",-0.001152995,"[0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0]",0.007203645,0.001200036,10,1.031219448,1.147805167,2.3087849,1.031219448,,,2.56E-05,2.052838415,0.096834311,
36,0.74,-0.000986764,-0.000986764,-0.000986773,-0.000986772,-0.000986763,"[0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0]",-0.000986763,"[0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0]",0.007066533,0.001149373,10,0.948201009,0.952884374,1.914848634,0.948201009,,,2.06E-05,1.699648417,0.093985268,
37,0.76,-0.000824074,-0.000824074,-0.000824075,-0.000824074,-0.000824073,"[0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0]",-0.000824073,"[0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0]",0.00694601,0.00110917,10,0.837251643,0.778578423,1.563218691,0.778578423,,,1.65E-05,1.386099516,0.084884704,
38,0.78,-0.000664493,-0.000664493,-0.000664496,-0.000664492,-0.000664492,"[0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0]",-0.000664492,"[0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0]",0.006814889,0.001070235,10,0.784426704,0.700251332,1.405406183,0.700251332,,,1.43E-05,1.293641116,0.053230507,
39,0.8,-0.00051038,-0.00051038,-0.000510383,-0.000510378,-0.00051038,"[0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1]",-0.00051038,"[0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1]",0.00652719,0.000993823,10,0.746300197,0.603631515,1.21090674,0.603631515,,,1.17E-05,1.091814136,0.066362401,
40,0.82,-0.000363204,-0.000363204,-0.000363207,-0.000363203,-0.000363203,"[0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1]",-0.000363203,"[0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1]",0.006259993,0.000931214,10,0.718558342,0.527344887,1.0574707,0.527344887,,,9.62E-06,1.030590176,0.01106391,
41,0.84,-0.000222881,-0.000222881,-0.000222885,-0.000222876,-0.000222881,"[0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1]",-0.000222881,"[0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1]",0.005972782,0.000872338,10,0.698851744,0.450872724,0.903778309,0.450872724,,,7.70E-06,0.876770243,0.015041567,
42,0.86,-8.92E-05,-8.92E-05,-8.92E-05,-8.92E-05,-8.92E-05,"[0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1]",-8.92E-05,"[0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1]",0.005698859,0.000823954,10,0.658987552,0.364407273,0.730142472,0.364407273,,,5.98E-06,0.725938584,0.001007219,
43,0.88,3.80E-05,3.80E-05,3.80E-05,3.80E-05,3.80E-05,"[0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1]",3.80E-05,"[0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1]",0.005415363,0.000781638,10,0.547003443,0.246551306,0.493710488,0.246551306,,,3.81E-06,0.48354865,0.008775035,
